SMIRKS,Temp,First label,Second label
"C[C:10](C)C#N.[CH2:20]=[CH:21]Cl>>C[C:10](C)([CH2:20][CH:21]Cl)C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"CC(C)(C[CH:10]Cl)C#N.[CH2:20]=[CH:21]Cl>>CC(C)(C[CH:10]([CH2:20][CH:21]Cl)Cl)C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"CC(C)(CC(C[CH:10]Cl)Cl)C#N.[CH2:20]=[CH:21]Cl>>CC(C)(CC(C[CH:10]([CH2:20][CH:21]Cl)Cl)Cl)C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"CC(C)(CC(CC(C[CH:10]Cl)Cl)Cl)C#N.[CH2:20]=[CH:21]Cl>>CC(C)(CC(CC(C[CH:10]([CH2:20][CH:21]Cl)Cl)Cl)Cl)C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"CC(C)([CH2:10])[N:20]=[O:21]>>CC1(C)[CH2:10][N:20]1[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"[CH3:1][C:2]1([CH2:3][N:4]1[O:5])[CH3:6]>>[CH3:1][C:2]([CH3:6])[CH2:3][N:4]=[O:5] 5-4,5;2,4-4,5;2,4-2",Room Temperature,Propagation,retroaddition
"[CH2:20]=[CH:21]C#N.C1C2CC3CC1C[C:10](C2)C3>>C1C2CC3CC1C[C:10](C2)(C3)[CH2:20][CH:21]C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"[H:4][C:3]([H:5])([CH3:6])[C:2](=[O:7])[O:1]>>[H:4][C:3]([H:5])[CH3:6].[C:2](=[O:1])=[O:7] 1-1,2;2,3-3;2,3-2,1",Room Temperature,Propagation,retroaddition
"[H:4][C:3]([H:5])([CH2:6][CH3:7])[C:2](=[O:8])[O:1]>>[H:4][C:3]([H:5])[CH2:6][CH3:7].[C:2](=[O:1])=[O:8] 1-1,2;2,3-1,2;2,3-3",Room Temperature,Propagation,retroaddition
"[CH:8]1=[CH:7][CH:6]=[C:5]([CH:10]=[CH:9]1)[C:4]([C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)[C:3]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3.[I:1][I:2]>>[CH:14]1=[CH:13][CH:12]=[C:11]([CH:16]=[CH:15]1)[C:4]([C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]2)([C:3]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[I:1].[I:2] 4-1,4;1,2-1,4;1,2-2",Room Temperature,Propagation,abstraction
"[CH2:10]C1=CC=CC=C1.[N:20]=O>>C1=CC=C(C=C1)[CH2:10][N:20]=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"C[C:21](C)(C#N)/[N:20]=N/C(C)(C)C#N>>C[C:21](C)C#N.CC(C)(C#N)N=[N:20] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[CH3:10].CC(C)(C)OC(=O)/[N:20]=[N:21]\C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)[N:21][N:20]([CH3:10])C(=O)OC(C)(C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"[CH3:10].C1=CC(=CC(=C1)[CH:20]=[C:21](C#N)C#N)Br>>[CH3:10][CH:20](C1=CC=CC(=C1)Br)[C:21](C#N)C#N 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"[H:10][C:9](=[CH:8][C:6]([H:7])[CH:5]=[CH:4][C:2](=[CH2:1])[CH3:3])[H:11]>>[H:10][C:9]([H:11])[CH:8]=[C:6]([H:7])[CH:5]=[CH:4][C:2](=[CH2:1])[CH3:3] 6-6,8; 8,9-6,8; 8,9-9",Room Temperature,Propagation,resonance
"[H:10][C:9]([H:11])[CH:8]=[C:6]([H:7])[CH:5]=[CH:4][C:2](=[CH2:1])[CH3:3]>>[H:10][C:9](=[CH:8][C:6]([H:7])[CH:5]=[CH:4][C:2](=[CH2:1])[CH3:3])[H:11] 9-9,8; 6,8-8,9; 6,8-6",Room Temperature,Propagation,resonance
"[H:8][C:7]([CH:9]=[CH2:10])[CH:6]=[C:4]([H:5])[C:2](=[CH2:1])[CH3:3]>>[H:8][C:7](=[CH:6][C:4]([H:5])[C:2](=[CH2:1])[CH3:3])[CH:9]=[CH2:10] 7-6,7; 4,6-6,7; 4,6-4",Room Temperature,Propagation,resonance
"[H:8][C:7](=[CH:6][C:4]([H:5])[C:2](=[CH2:1])[CH3:3])[CH:9]=[CH2:10]>>[H:8][C:7]([CH:9]=[CH2:10])[CH:6]=[C:4]([H:5])[C:2](=[CH2:1])[CH3:3] 4-4,6; 6,7-4,6; 6,7-7",Room Temperature,Propagation,resonance
"[H:10][C:9](=[C:7]([CH3:8])[C:5]([H:6])[CH:4]=[CH:3][CH:2]=[CH2:1])[H:11]>>[H:10][C:9]([H:11])[C:7](=[C:5]([H:6])[CH:4]=[CH:3][CH:2]=[CH2:1])[CH3:8] 5-5,7; 7,9-5,7; 7,9-9",Room Temperature,Propagation,resonance
"[H:10][C:9]([H:11])[C:7](=[C:5]([H:6])[CH:4]=[CH:3][CH:2]=[CH2:1])[CH3:8]>>[H:10][C:9](=[C:7]([CH3:8])[C:5]([H:6])[CH:4]=[CH:3][CH:2]=[CH2:1])[H:11] 9-7,9; 5,7-7,9; 5,7-5",Room Temperature,Propagation,resonance
"[CH3:5][C:4]([CH3:6])([CH3:7])[C:3]1=[C:2]([CH:13]=[CH:12][C:9](=[CH:8]1)[O:10][CH3:11])[O:1]>>[CH3:5][C:4]([CH3:6])([CH3:7])[C:3]1[CH:8]=[C:9]([CH:12]=[CH:13][C:2]1=[O:1])[O:10][CH3:11] 1-1,2; 2,3-1,2; 2,3-3",Room Temperature,Propagation,resonance
"[CH3:5][C:4]([CH3:6])([CH3:7])[C:3]1[CH:8]=[C:9]([CH:12]=[CH:13][C:2]1=[O:1])[O:10][CH3:11]>>[CH3:5][C:4]([CH3:6])([CH3:7])[C:3]1=[CH:8][C:9]([CH:12]=[CH:13][C:2]1=[O:1])[O:10][CH3:11] 3-3,8; 8,9-3,8; 8,9-9",Room Temperature,Propagation,resonance
"[H:14][C:13]1=[CH:12][C:9]([CH:8]=[C:3]([C:2]1=[O:1])[C:4]([CH3:5])([CH3:6])[CH3:7])[O:10][CH3:11]>>[H:14][C:13]1[CH:12]=[C:9]([CH:8]=[C:3]([C:2]1=[O:1])[C:4]([CH3:5])([CH3:6])[CH3:7])[O:10][CH3:11] 9-9,12; 12,13-9,12; 12,13-13",Room Temperature,Propagation,resonance
"[H:14][C:13]1[CH:12]=[C:9]([CH:8]=[C:3]([C:2]1=[O:1])[C:4]([CH3:5])([CH3:6])[CH3:7])[O:10][CH3:11]>>[H:14][C:13]1=[CH:12][C:9](=[CH:8][C:3](=[C:2]1[O:1])[C:4]([CH3:5])([CH3:6])[CH3:7])[O:10][CH3:11] 13-2,13; 1,2-2,13; 1,2-1",Room Temperature,Propagation,resonance
"[CH:14]1=[CH:13][CH:12]=[C:11]([CH:16]=[CH:15]1)[C:10]2=[C:8]([C:7](=[O:18])[C:6]3=[C:4]([CH:3]=[C:2]([CH:20]=[C:19]3[O:17]2)[OH:1])[OH:5])[O:9]>>[CH:14]1=[CH:13][CH:12]=[C:11]([CH:16]=[CH:15]1)[C:10]2[C:8](=[O:9])[C:7](=[O:18])[C:6]3=[C:4]([CH:3]=[C:2]([CH:20]=[C:19]3[O:17]2)[OH:1])[OH:5] 9-8,9; 8,10-8,9; 8,10-10",Room Temperature,Propagation,resonance
"[H:12][C:11]1=[C:10]([CH:16]=[CH:15][CH:14]=[CH:13]1)[C:9]2[C:8](=[O:18])[C:7](=[O:19])[C:6]3=[C:4]([CH:3]=[C:2]([CH:21]=[C:20]3[O:17]2)[OH:1])[OH:5]>>[H:12][C:11]1[CH:13]=[CH:14][CH:15]=[CH:16][C:10]1=[C:9]2[C:8](=[O:18])[C:7](=[O:19])[C:6]3=[C:4]([CH:3]=[C:2]([CH:21]=[C:20]3[O:17]2)[OH:1])[OH:5] 9-9,10; 10,11-9,10; 10,11-11",Room Temperature,Propagation,resonance
"[H:16][C:15]1=[CH:14][C:12]([C:11](=[C:9]2[C:8](=[O:19])[C:7](=[O:20])[C:6]3=[C:4]([CH:3]=[C:2]([CH:22]=[C:21]3[O:10]2)[OH:1])[OH:5])[CH:18]=[CH:17]1)[H:13]>>[H:16][C:15]1[CH:17]=[CH:18][C:11](=[C:9]2[C:8](=[O:19])[C:7](=[O:20])[C:6]3=[C:4]([CH:3]=[C:2]([CH:22]=[C:21]3[O:10]2)[OH:1])[OH:5])[C:12](=[CH:14]1)[H:13] 12-12,14; 14,15-12,14; 14,15-15",Room Temperature,Propagation,resonance
"[H:15][C:14]1[CH:13]=[CH:12][C:11](=[C:9]2[C:8](=[O:19])[C:7](=[O:20])[C:6]3=[C:4]([CH:3]=[C:2]([CH:22]=[C:21]3[O:10]2)[OH:1])[OH:5])[C:17](=[CH:16]1)[H:18]>>[H:15][C:14]1=[CH:16][C:17]([C:11](=[C:9]2[C:8](=[O:19])[C:7](=[O:20])[C:6]3=[C:4]([CH:3]=[C:2]([CH:22]=[C:21]3[O:10]2)[OH:1])[OH:5])[CH:12]=[CH:13]1)[H:18] 14-14,16; 16,17-14,16; 16,17-17",Room Temperature,Propagation,resonance
"[H:17][C:16]1[CH:15]=[CH:14][CH:13]=[CH:12][C:11]1=[C:9]2[C:8](=[O:18])[C:7](=[O:19])[C:6]3=[C:4]([CH:3]=[C:2]([CH:21]=[C:20]3[O:10]2)[OH:1])[OH:5]>>[H:17][C:16]1=[C:11]([CH:12]=[CH:13][CH:14]=[CH:15]1)[C:9]2[C:8](=[O:18])[C:7](=[O:19])[C:6]3=[C:4]([CH:3]=[C:2]([CH:21]=[C:20]3[O:10]2)[OH:1])[OH:5] 16-16,11; 9,11-11,16; 9,11-9",Room Temperature,Propagation,resonance
"[CH:13]1=[CH:12][CH:11]=[C:10]([CH:15]=[CH:14]1)[C:9]2[C:8](=[O:17])[C:7](=[O:18])[C:6]3=[C:4]([CH:3]=[C:2]([CH:20]=[C:19]3[O:16]2)[OH:1])[OH:5]>>[CH:13]1=[CH:12][CH:11]=[C:10]([CH:15]=[CH:14]1)[C:9]2=[C:8]([C:7](=[O:18])[C:6]3=[C:4]([CH:3]=[C:2]([CH:20]=[C:19]3[O:16]2)[OH:1])[OH:5])[O:17] 9-8,9; 8,17-8,9; 8,17-17",Room Temperature,Propagation,resonance
"[H:4][C:3]1[CH:5]=[C:6]2[C:7](=[CH:9][C:10](=[O:12])[O:11][C:13]2=[C:14]([C:2]1=[O:1])[OH:15])[CH3:8]>>[H:4][C:3]1=[C:2]([C:14](=[C:13]2[C:6](=[CH:5]1)[C:7](=[CH:9][C:10](=[O:12])[O:11]2)[CH3:8])[OH:15])[O:1] 3-2,3; 1,2-2,3; 1,2-1",Room Temperature,Propagation,resonance
"[CH3:7][C:6]1=[CH:8][C:9](=[O:11])[O:10][C:12]2=[C:5]1[CH:4]=[CH:3][C:2](=[O:1])[C:13]2[OH:14]>>[CH3:7][C:6]1=[CH:8][C:9](=[O:11])[O:10][C:12]2=[C:5]1[CH:4]=[CH:3][C:2](=[C:13]2[OH:14])[O:1] 13-2,13; 1,2-2,13; 1,2-1",Room Temperature,Propagation,resonance
"[CH3:7][C:6]1=[CH:8][C:9](=[O:11])[O:10][C:12]2=[C:5]1[CH:4]=[CH:3][C:2](=[C:13]2[OH:14])[O:1]>>[CH3:7][C:6]1=[CH:8][C:9](=[O:11])[O:10][C:12]2=[C:5]1[CH:4]=[CH:3][C:2](=[O:1])[C:13]2[OH:14] 1-1,2; 2,13-1,2; 2,13-13",Room Temperature,Propagation,resonance
"[H:12][C:11]1[C:9](=[C:5]2[CH:4]=[CH:3][C:2](=[O:1])[C:7](=[C:6]2[O:14][C:13]1=[O:15])[OH:8])[CH3:10]>>[H:12][C:11]1=[C:13]([O:14][C:6]2=[C:7]([C:2](=[O:1])[CH:3]=[CH:4][C:5]2=[C:9]1[CH3:10])[OH:8])[O:15] 11-11,13; 13,15-11,13; 13,15-15",Room Temperature,Propagation,resonance
"[CH3:11][O:10][C:9]1=[CH:12][C:5]([CH:6]=[CH:7][C:8]1=[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1]>>[CH3:11][O:10][C:9]1[CH:12]=[C:5]([CH:6]=[CH:7][C:8]1=[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1] 5-5,12; 9,12-5,12; 9,12-9",Room Temperature,Propagation,resonance
"[CH3:11][O:10][C:9]1[CH:12]=[C:5]([CH:6]=[CH:7][C:8]1=[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1]>>[CH3:11][O:10][C:9]1=[CH:12][C:5]([CH:6]=[CH:7][C:8]1=[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1] 9-9,12; 5,12-9,12; 5,12-5",Room Temperature,Propagation,resonance
"[CH3:11][O:10][C:9]1[CH:8]=[C:5]([CH:6]=[CH:7][C:12]1=[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1]>>[CH3:11][O:10][C:9]1=[CH:8][C:5](=[CH:6][CH:7]=[C:12]1[O:13])[CH:4]=[CH:3][C:2](=[O:14])[O-:1] 9-9,12; 12,13-9,12; 12,13-13",Room Temperature,Propagation,resonance
"[H:1][C:2]1=[C:3]([CH:17]=[CH:18][CH:19]=[CH:20]1)[C:4]([C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]2)[C:11]3=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]3>>[H:1][C:2]1[CH:20]=[CH:19][CH:18]=[CH:17][C:3]1=[C:4]([C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]2)[C:11]3=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]3 4-4,3; 2,3-3,4; 2,3-2",Room Temperature,Propagation,resonance
"[H:1][C:2]1[CH:20]=[CH:19][CH:18]=[CH:17][C:3]1=[C:4]([C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]2)[C:11]3=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]3>>[H:1][C:2]1=[C:3]([CH:17]=[CH:18][CH:19]=[CH:20]1)[C:4]([C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]2)[C:11]3=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]3 2-2,3; 3,4-2,3; 3,4-4",Room Temperature,Propagation,resonance
"[H:5][C:4]1=[CH:3][C:2]([C:8](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[CH:7]=[CH:6]1)[H:1]>>[H:5][C:4]1[CH:6]=[CH:7][C:8](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[C:2](=[CH:3]1)[H:1] 2-2,3; 3,4-2,3; 3,4-4",Room Temperature,Propagation,resonance
"[H:5][C:4]1[CH:6]=[CH:7][C:8](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[C:2](=[CH:3]1)[H:1]>>[H:5][C:4]1=[CH:3][C:2]([C:8](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[CH:7]=[CH:6]1)[H:1] 4-3,4; 2,3-3,4; 2,3-2",Room Temperature,Propagation,resonance
"[H:1][C:2]1[CH:3]=[CH:4][C:5](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[C:6](=[CH:8]1)[H:7]>>[H:1][C:2]1=[CH:8][C:6]([C:5](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[CH:4]=[CH:3]1)[H:7] 2-2,8; 6,8-2,8; 6,8-6",Room Temperature,Propagation,resonance
"[H:1][C:2]1=[CH:8][C:6]([C:5](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[CH:4]=[CH:3]1)[H:7]>>[H:1][C:2]1[CH:3]=[CH:4][C:5](=[C:9]([C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[C:6](=[CH:8]1)[H:7] 6-6,8; 2,8-6,8; 2,8-2",Room Temperature,Propagation,resonance
"[H:1][C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][C:3]1=[C:8]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3>>[H:1][C:2]1=[C:3]([CH:4]=[CH:5][CH:6]=[CH:7]1)[C:8]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3 2-2,3; 3,8-2,3; 3,8-8",Room Temperature,Propagation,resonance
"[H:1][C:2]1=[C:3]([CH:4]=[CH:5][CH:6]=[CH:7]1)[C:8]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3>>[H:1][C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][C:3]1=[C:8]([C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[C:15]3=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]3 8-3,8; 2,3-3,8; 2,3-2",Room Temperature,Propagation,resonance
"C[C:20](C)O.C[C:10](C)O>>C[C:20](C)([C:10](C)(C)O)O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[OH:1][OH:2].[Ar]>>[Ar].[OH:1].[OH:2] 2,1-1;2,1-2",Heat,Initiation,homolyze
"[CH3:1][O:2][O:3][CH3:4].[Ar]>>[Ar].[CH3:1][O:2].[CH3:4][O:3] 3,2-3;3,2-2",Heat,Initiation,homolyze
"[CH3:6][C:5]([CH3:7])([CH3:8])[O:4][O:3][C:2]([CH3:1])([CH3:9])[CH3:10].[Ar]>>[Ar].[CH3:6][C:5]([CH3:7])([CH3:8])[O:4].[CH3:1][C:2]([CH3:9])([CH3:10])[O:3] 3,4-3;3,4-4",Heat,Initiation,homolyze
"[H:4][C:3]([H:5])([CH3:6])[C:2](=[O:1])[O:7][O:8][C:9](=[O:14])[C:10]([H:11])([H:12])[CH3:13].[Ar]>>[Ar].[H:4][C:3]([H:5])([CH3:6])[C:2](=[O:1])[O:7].[H:11][C:10]([H:12])([CH3:13])[C:9](=[O:14])[O:8] 7,8-7;7,8-8",Heat,Initiation,homolyze
"[H:4][C:3]([H:5])([H:6])[C:2](=[O:1])[O:7][O:8][C:9](=[O:14])[C:10]([H:11])([H:12])[H:13].[Ar]>>[Ar].[H:4][C:3]([H:5])([H:6])[C:2](=[O:1])[O:7].[H:11][C:10]([H:12])([H:13])[C:9](=[O:14])[O:8] 7,8-7;7,8-8",Heat,Initiation,homolyze
"[H:4][C:3]([H:5])([H:6])[C:2](=[O:7])[O:1]>>[H:4][C:3]([H:5])[H:6].[C:2](=[O:1])=[O:7] 1-1,2;2,3-2,1;2,3-3",Room Temperature,Propagation,retroaddition
"[H:5][C:3]([CH3:4])([CH3:6])[C:2](=[O:1])[O:7][O:8][C:9](=[O:14])[C:10]([H:12])([CH3:11])[CH3:13].[Ar]>>[Ar].[H:5][C:3]([CH3:4])([CH3:6])[C:2](=[O:1])[O:7].[H:12][C:10]([CH3:11])([CH3:13])[C:9](=[O:14])[O:8] 7,8-7;7,8-8",Heat,Initiation,homolyze
"[H:1][C:2]([H:3])([H:4])[N:5]=[N:6][C:7]([H:8])([H:9])[H:10]>>[H:8][C:7]([H:9])[H:10].[H:1][C:2]([H:3])[H:4].[N:5]#[N:6] 6,7-6,5;6,7-7;2,5-6,5;2,5-2",Room Temperature,Initiation,homolyze
"[H:20][CH3:21].[Cl:10]>>[H:20][Cl:10].[CH3:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"[O:2][Cl:1].[O:4][Cl:3]>>[O:2]([O:4][Cl:3])[Cl:1] 2-2,4; 4-2,4",Room Temperature,Termination,recombine
"CC(C)(C)C1=C[CH:10]C(=O)CC1.[O:20][O]>>CC(C)(C)C1=C[CH:10](C(=O)CC1)[O:20][O] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[H:20][CH:21](C)C=O.[OH:10]>>[H:20][OH:10].C[CH:21]C=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"CO[O:10].[N:20]=O>>CO[O:10][N:20]=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"C[O:20][O:21]N=O>>C[O:20].N(=O)[O:21] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"O[O:10].[N:20]=O>>O[O:10][N:20]=O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[H][O:20][O:21]N=O>>[H][O:20].N(=O)[O:21] 20,21-20;20,21-21",Room Temperature,Initiation,homolyze
"[H:12][O:11].[CH3:1][C:2](=[CH2:10])[C:3](=[O:9])[O:4][O:5][N+:6](=[O:8])[O-:7]>>[H:12][O:11][CH2:10][C:2]([CH3:1])[C:3](=[O:9])[O:4][O:5][N+:6](=[O:8])[O-:7] 11-10,11; 10,2-2; 10,2-10,11",Room Temperature,Propagation,addition
"[H:5][C:3](=[O:4])[C:2](=[CH2:6])[CH3:1].[H:8][O:7]>>[H:8][O:7][H:5].[CH3:1][C:2](=[CH2:6])[C:3]=[O:4] 7-7,5; 5,3-7,5; 5,3-3",Room Temperature,Propagation,abstraction
"[O:10][O:11][O].[Br:20]>>[O:11][O].[O:10][Br:20] 10,11-10,20;10,11-11;20-10,20",Room Temperature,Propagation,abstraction
"[O:10][O:11][O].[F:20]>>[O:11][O].[O:10][F:20] 10,11-10,20;10,11-11;20-10,20",Room Temperature,Propagation,abstraction
"[H:4][O:3][O:2][O:1]>>[H:4][O:3].[O:1][O:2] 2,3-2; 2,3-3",Room Temperature,Initiation,homolyze
"[H:20][O:21][CH:22]/C=C\C=C/C=O.[OH:10]>>[H:20][OH:10].C(=C\[CH:22]=[O:21])\C=C/C=O 10-10,20;20,21-10,20;20,21-21,22;22-21,22",Room Temperature,Termination,abstraction
"[H:3][O:2][O:1].[O:4][O:5][O:6]>>[H:3][O:4][O:5][O:6].[O:2][O:1] 4-4,3; 2,3-4,3; 3,2-2",Room Temperature,Propagation,abstraction
"C[C:10](CO)C(CO)[O:20][OH:21]>>C[C:10]1(CO)C(CO)[O:20]1.[OH:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"CC(CO)([CH:21]=[CH2:20])OO.[OH:10]>>CC(CO)([CH:21][CH2:20][OH:10])OO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"C[C:10](C[O:20][OH:21])C(CO)O>>C[C:10]1(C[O:20]1)C(CO)O.[OH:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,retroaddition
"[O:10][O:11][O].[Cl:20]>>[O:11][O].[O:10][Cl:20] 10,11-10,20;10,11-11;20-10,20",Room Temperature,Propagation,abstraction
"[H:20][CH:21](C)C(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"CCC(=O)[CH:10]C.[O:20][O]>>CCC(=O)[CH:10](C)[O:20][O] 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[H:20][CH:21](C)C(=O)C(C)O[O:10]>>[H:20][O:10]OC(C)C(=O)[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"C[CH:20]C(=O)C(C)OO.[O:10][O]>>CC(C(=O)[CH:20](C)[O:10][O])OO 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[O:1][O:2][O:3].[Cl:4]>>[O:1][O:2].[O:3][Cl:4] 4-4,3; 2,3-4,3; 2,3-2",Room Temperature,Propagation,abstraction
"[H:2][O:1].[O:3][O:4][O:5]>>[H:2][O:1][O:5][O:3][O:4] 1-1,5;5-1,5",Room Temperature,Termination,recombine
"[H:2][O:1][O:5][O:3][O:4]>>[H:2][O:1][O:5].[O:3][O:4] 3,5-3;3,5-5",Room Temperature,Initiation,homolyze
"[N:10]=O.[O:20][O:21][O]>>[N:10](=O)[O:20].[O:21][O] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"[O-][N+:11]([O:10]CCCCO[N+]([O-])=O)=O.[Ar]>>[Ar].[O:10]CCCCO[N+]([O-])=O.[O-][N+:11]=O 10,11-10;10,11-11",Heat,Initiation,homolyze
"CC(O[N+]([O-])=O)C([O:10][N+:11]([O-])=O)C.[Ar]>>[Ar].CC(O[N+]([O-])=O)C([O:10])C.[O-][N+:11]=O 10,11-10;10,11-11",Heat,Initiation,homolyze
"[H:10][C:11]=O.[O:20][O]>>[H:10][O:20][O].[C:11]=O 10,11-10,20;10,11-11;20-10,20",Room Temperature,Propagation,abstraction
"[H:20][CH2:21]C(=C)C=C.[Br:10]>>[H:20][Br:10].C=CC(=C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction
"C[C:21](=[CH2:20])C=C.[Br:10]>>C[C:21]([CH2:20][Br:10])C=C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,addition
"[H:7][C:6]([H:8])[CH:5]=[C:2]([CH3:1])[CH2:3][OH:4].[CH3:12][C:11](=[CH2:13])[CH:10]=[CH2:9]>>[H:7][C:6]([H:8])([CH2:13][C:11]([CH3:12])[CH:10]=[CH2:9])[CH:5]=[C:2]([CH3:1])[CH2:3][OH:4] 6-6,13; 13,11-13,6; 11,13-11",Room Temperature,Propagation,addition
"[H:3][O:4].[C:1]=[O:2]>>[H:3][O:4][C:1]=[O:2] 4-4,1;1-4,1",Room Temperature,Termination,recombine
"C[C:10](C(=O)O)O.C[C:20](C(=O)O)O>>C[C:10](C(=O)O)([C:20](C)(C(=O)O)O)O 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[N:10]=O.[O:20]Cl>>[N:10](=O)[O:20]Cl 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[N:10]=O.[O:20]Br>>[N:10](=O)[O:20]Br 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[N:10]=O.[O:20]I>>[N:10](=O)[O:20]I 10-10,20;20-10,20",Room Temperature,Termination,recombine
"[H:1][C:2]([H:3])([H:5])[O:4].[O:6][O:7]>>[H:1][C:2](=[O:4])[H:3].[H:5][O:6][O:7] 6-6,5; 5,2-6,5; 5,2-4,2; 4-4,2",Room Temperature,Termination,abstraction
"[H:3][C:2](=[O:1])[H:4].[H:6][O:5]>>[H:3][C:2]=[O:1].[H:6][O:5][H:4] 5-5,4; 2,4-5,4; 2,4-2",Room Temperature,Propagation,abstraction
